Strata_ID_Number,D_Wh_Cancer,D_Bl_Cancer,D_Hi_Cancer,No_Exercise,Few_Fruit_Veg,Obesity,Smoker,Uninsured,Prim_Care_Phys_Rate,Community_Health_Center_Ind
64,12,-1111,-1111,31.1,81.8,24,32.4,951,24.2,2
50,12,17,-1111,34.3,78.5,25.5,30.1,5152,124.8,2
72,14,15,-1111,34.6,87.2,26.8,34.3,1866,34.4,2
53,-1111,14,-1111,41.3,80.3,32.4,36.1,5813,94.4,2
46,26,16,-1111,21.9,81.3,25,21,8416,76.2,2
41,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2633,65.5,2
32,11,15,-1111,37.6,79.9,27.2,29,6377,127,2
32,11,15,-1111,25.8,80.2,21.7,21,2874,123.4,2
64,12,-1111,-1111,39.8,77.6,25.1,40.4,1013,34.6,1
68,19,22,-1111,36.6,81.6,29.2,33.2,3232,75.2,1
72,14,15,-1111,36.9,77.9,21.9,37.9,2699,31.1,2
46,26,16,-1111,30,77.9,25.6,30.5,5489,21.9,2
44,-1111,14,-1111,34.5,84.3,33.3,36.8,1861,22.4,2
64,12,-1111,-1111,33.4,80.7,17.9,32.3,1639,46.2,2
50,12,17,-1111,26.4,78.6,18.1,27.9,4042,82.6,2
19,17,-1111,-1111,27.8,85.6,23.9,25.6,7283,80.2,1
63,-1111,-1111,-1111,-1111.1,84.8,-1111.1,-1111.1,788,18.8,2
44,-1111,14,-1111,-1111.1,89.2,-1111.1,-1111.1,1470,38.3,2
52,15,13,-1111,37.7,87.4,31,35.5,4505,29.3,2
72,14,15,-1111,38.2,81.8,24.8,23.3,3117,24.6,2
22,10,-1111,-1111,31.2,76,24.4,34.2,12960,55.6,2
32,11,15,-1111,40.5,82.1,23.5,36.7,4145,65.9,2
69,-1111,-1111,-1111,45.8,83.2,30.8,37,5021,33.1,2
73,15,-1111,-1111,26.7,81,22.5,24.7,1997,41.8,2
63,-1111,-1111,-1111,39,83.9,31.3,29.9,1374,33.4,2
71,12,12,-1111,-1111.1,-1111.1,26.4,25.9,1390,42,2
22,10,-1111,-1111,30.1,78.5,22.6,29.8,9648,76.3,2
44,-1111,14,-1111,34.4,-1111.1,-1111.1,-1111.1,1698,16.6,2
68,19,22,-1111,42.8,83.7,34.7,40.9,1240,0,2
44,-1111,14,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2367,19.9,1
14,20,15,-1111,23.8,75.9,20.8,23,33169,182,1
72,14,15,-1111,37.1,83.7,28.3,32.2,2226,61.6,1
53,-1111,14,-1111,45,82.6,31.3,32.4,7653,87.6,1
28,16,-1111,-1111,27.8,76.9,23.4,24,5031,58.1,2
72,14,15,-1111,-1111.1,83.1,-1111.1,-1111.1,1263,152.4,2
42,16,21,-1111,-1111.1,-1111.1,-1111.1,-1111.1,1080,12.3,2
65,19,15,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2063,42.2,2
42,16,21,-1111,38.9,83,26.2,37.1,2940,40.6,2
50,12,17,-1111,33.1,78.8,25.1,32.6,5376,42.5,2
44,-1111,14,-1111,35.7,77.1,23.4,37.9,3616,55.6,2
64,12,-1111,-1111,37.3,80.6,31.8,31.1,1949,43.1,2
32,11,15,-1111,37.1,82.6,29.5,27.9,4647,59.2,2
39,12,-1111,-1111,28.9,-1111.1,21.5,21.7,707,0,2
20,17,12,-1111,28.6,78.7,24.6,29.9,12359,80.5,2
53,-1111,14,-1111,45.7,84.7,30,35.7,6586,50.6,1
65,19,15,-1111,-1111.1,85.9,-1111.1,-1111.1,2182,75.6,2
73,15,-1111,-1111,36.6,83.9,18.7,35.7,3302,38.2,2
28,16,-1111,-1111,31.3,79.6,22.3,32.6,5226,57.1,2
41,-1111,-1111,-1111,-1111.1,89.5,-1111.1,-1111.1,2004,37.7,2
62,17,-1111,-1111,-1111.1,-1111.1,-1111.1,25.4,760,19.7,2
50,12,17,-1111,32.7,83.4,30.5,30.6,6523,134.9,2
69,-1111,-1111,-1111,43.9,87.6,35.8,41.6,2670,14.7,1
3,12,12,-1111,26.8,81,25.5,26.7,75734,131.9,1
28,16,-1111,-1111,25.4,72.6,22.6,29.2,4761,59.8,2
44,-1111,14,-1111,42.1,84.5,33.9,32.6,3817,79.2,2
15,14,15,-1111,24,79.9,23.6,32.7,14557,104.1,1
69,-1111,-1111,-1111,45.3,77.8,25.5,34.8,2999,22.8,2
53,-1111,14,-1111,41.2,88.2,26.4,31.3,6641,21.8,2
65,19,15,-1111,32.5,75.4,28.6,26.1,1739,21.9,2
8,18,13,-1111,39.7,82.3,24.7,32.3,8441,58.6,2
69,-1111,-1111,-1111,40.8,85.7,27.3,35.9,2462,37.1,2
44,-1111,14,-1111,43.6,84.6,31,38.7,1538,38.9,1
68,19,22,-1111,42.3,82.5,33.4,36.2,2236,41.7,2
53,-1111,14,-1111,42.4,81.4,33.6,31.4,3944,81.9,1
68,19,22,-1111,41,81.8,26.8,40.3,2584,14.4,1
44,-1111,14,-1111,34.5,80.3,29.5,31.7,3764,39.8,2
63,-1111,-1111,-1111,35.2,82.8,27.6,-1111.1,1234,30.7,2
49,20,-1111,-1111,33.1,78.1,26.3,38.9,3579,44.2,2
64,12,-1111,-1111,33,-1111.1,29.7,19.5,777,36.8,2
24,17,-1111,-1111,33.8,79.2,25.7,25.9,7895,92.7,2
69,-1111,-1111,-1111,49.4,80.7,34.3,46.2,4087,23.2,2
64,12,-1111,-1111,41,83.1,38.7,27.6,1262,10.1,2
22,10,-1111,-1111,28.7,82,23.6,28.9,8879,69.5,1
69,-1111,-1111,-1111,41.7,87.8,33.3,34,2715,22.3,2
44,-1111,14,-1111,38.8,82.8,23.1,33.9,2241,63.4,2
30,-1111,-1111,-1111,26.4,74.6,22.6,26.1,3271,42,2
69,-1111,-1111,-1111,-1111.1,90.2,-1111.1,31.9,2427,40.9,2
73,15,-1111,-1111,37.5,79.4,21.1,30.1,2345,81.7,1
29,-1111,18,-1111,28.1,77.8,22.3,36.7,3750,10.5,2
68,19,22,-1111,39.5,87.2,25.1,37.5,1252,0,2
65,19,15,-1111,-1111.1,82,27.9,-1111.1,2681,46.3,2
72,14,15,-1111,36.4,84.1,25,-1111.1,1876,29.4,2
72,14,15,-1111,44.6,87.2,25.4,-1111.1,2158,60,2
44,-1111,14,-1111,38.3,82.9,30.1,32.4,3117,74.2,2
44,-1111,14,-1111,39,82.3,26.1,31.4,2237,34.9,2
35,11,-1111,-1111,36.5,81.9,32.9,27.8,4585,53.9,1
29,-1111,18,-1111,30,82.6,26,30.1,3952,58.4,2
72,14,15,-1111,-1111.1,-1111.1,-1111.1,-1111.1,851,28.5,2
72,14,15,-1111,35.7,82.5,26.4,40.8,3238,29.6,2
48,25,-1111,-1111,21.8,79.2,19.2,23.7,3518,52.3,2
63,-1111,-1111,-1111,37.9,-1111.1,22.4,-1111.1,1556,44,2
72,14,15,-1111,33,93.4,25.5,-1111.1,1205,42.1,1
42,16,21,-1111,-1111.1,-1111.1,-1111.1,-1111.1,1575,13.2,2
53,-1111,14,-1111,41,79.7,32.6,33.8,5146,129,1
8,18,13,-1111,42.6,83.9,28.5,34.2,10100,82.2,1
69,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2169,29.2,1
8,18,13,-1111,32.3,80.7,24.1,30.1,8413,81.1,2
71,12,12,-1111,-1111.1,84.3,21.9,30.4,299,0,1
44,-1111,14,-1111,41.6,76.9,31.9,29.2,2698,53.9,2
44,-1111,14,-1111,29.7,79.5,25.1,27,3013,130.5,2
73,15,-1111,-1111,42.4,85.2,27.5,29.6,2842,52.9,2
28,16,-1111,-1111,26.9,83.6,22.2,28.1,4192,58.4,2
28,16,-1111,-1111,28.9,80.7,-1111.1,29.8,4152,39.3,2
39,12,-1111,-1111,31.2,70.6,19.3,30.3,1991,52.9,2
39,12,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,1309,31.9,1
41,-1111,-1111,-1111,37.3,80,18.8,32.4,3253,88.4,2
63,-1111,-1111,-1111,45,85.7,29.2,30.4,2030,16.7,2
63,-1111,-1111,-1111,34,81.7,24,32.9,1551,37.5,2
41,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,1155,11.1,2
42,16,21,-1111,35.5,-1111.1,31.5,31,2052,32.1,2
22,10,-1111,-1111,28,75,22.6,27.1,11418,95,1
64,12,-1111,-1111,-1111.1,84.3,24.3,-1111.1,1364,26.3,2
44,-1111,14,-1111,36.4,83.1,28.3,33.3,3856,39.3,2
64,12,-1111,-1111,32.1,82,31.6,24.6,1950,7.1,2
53,-1111,14,-1111,39.8,79.2,30.6,35.6,6798,86.8,1
68,19,22,-1111,50,84.1,23,33,1470,14.1,2
37,11,-1111,-1111,19.6,-1111.1,18.5,18.7,2530,82.5,1
8,18,13,-1111,38.9,87.9,27.8,26.1,9501,47,2
44,-1111,14,-1111,38.6,-1111.1,32.2,22.6,3978,47.5,2
