Unique Visitors,Average Page Depth,Flight Searches,Fare Change Error,Revenue
1046821,11,1075366,665,45574765
1055066,11,998062,1495,43118017
1030929,11,916479,832,39132887
929166,11,810847,720,36417656
670889,11,590038,331,22659712
815113,11,700751,434,26495595
1092779,11,1079445,688,45230539
1099487,11,1156113,1000,51168477
1043479,11,963840,760,42494201
1034190,10,962877,939,40701425
915642,11,833615,622,36705141
633163,12,557598,263,20870474
737643,11,650410,365,24598522
1024886,10,984077,590,39227887
1052108,11,1057593,863,43430642
1041194,10,984593,806,41166946
994866,10,915745,942,39989679
911192,11,793617,672,32569343
737949,11,596670,268,21242053
781595,11,686246,563,25766148
1055716,11,998065,618,39773405
1014808,11,1029112,916,43108293
990060,11,954638,1455,40645215
949017,10,860881,881,35916510
854743,11,759227,686,32818854
613086,11,534418,278,19850780
745610,11,664903,434,25301222
1006844,10,978782,651,39418667
988953,11,1012039,736,42416363
987538,10,928031,758,39081405
916831,11,843219,662,34307251
795077,11,707132,513,31349726
591601,11,507335,287,19834966
792539,11,711623,584,26839406
1039671,11,1010717,668,41221453
1010059,11,1027825,799,44042293
1002830,11,983142,1302,41679385
965312,10,884577,829,37973579
924885,10,793575,741,34069914
641887,12,568479,313,21839772
798080,11,705208,503,27190166
1068385,11,1016140,713,40329197
1042775,11,1019631,4340,42865692
1007116,11,912620,733,40013059
969265,11,874227,698,35664889
836767,11,727051,558,31682340
634719,11,526451,361,19714783
752617,11,650451,428,24106585
976785,10,917772,591,35567803
1020160,11,951662,651,38366459
968227,11,874739,1339,35372460
944923,10,804958,1051,31464061
905089,10,712115,530,27786541
646673,11,517045,303,17732943
697083,12,594383,352,20764772
964111,10,857756,549,32053610
918938,10,776039,744,32476947
769800,10,604447,736,26319002
484600,11,380062,407,13032653
618868,11,534890,557,19088269
625459,11,482865,446,16831024
802822,11,650233,605,22271602
1235355,11,1148723,1004,44280920
1029726,11,988218,1041,40164163
928443,11,878530,705,35697225
865144,11,788730,728,31651765
804878,11,686881,615,28054416
584443,12,496509,321,17869837
756832,12,645474,484,23141656
958394,11,902273,588,33452651
884331,11,871235,709,33555522
898251,11,819877,1029,31362994
862312,11,756049,601,28047998
759236,11,636100,466,24216500
567156,11,459621,287,15446424
684953,11,567407,325,18916046
957107,11,823762,519,28378523
1008267,11,863407,848,30179789
898172,11,759798,1582,27880646
878120,10,697807,663,26132410
826714,10,605740,9,23455458
641438,11,457703,0,15373091
670275,11,488667,0,14853704
896147,10,704500,0,24587507
912486,11,703273,0,26354025
838562,10,599895,0,22611160
598533,11,391080,0,13103314
526310,10,352162,0,9424055
651882,11,490475,0,13466385
788855,11,598850,0,16653075
997132,11,876879,0,28974966
985336,11,869128,0,30207518
892951,11,768763,1,28318833
642058,11,543161,0,21053239
641903,11,568801,0,18263055
708269,11,612547,0,18611911
831272,11,753150,0,23992329
1136574,11,1193559,0,43729917
1161355,11,1310737,0,50111349
1092745,12,1212516,0,46386916
1049073,11,1124746,0,41400444
1006217,11,988184,0,37068394
766386,12,734492,0,24066004
893198,12,878747,0,28141275
1163998,11,1182704,0,40923118
1152561,11,1248824,0,46016969
1081114,11,1156266,0,42392363
1037206,11,1047186,0,38631027
951937,11,924583,66,35774026
693200,12,709019,104,24034690
800345,12,823204,102,27183507
1036153,11,1101458,176,39748576
1111378,11,1229217,210,46115346
1099889,11,1171891,793,42221671
1223136,11,1176625,924,44236818
1138543,11,1006294,756,41313988
883706,12,818365,436,29553871
961501,11,897304,527,30934179
1165610,10,1157740,568,41389400
1079234,11,1181953,522,44873245
1034878,11,1103168,648,41778115
1001986,10,893409,525,32023939
979207,10,933995,537,37710207
751917,11,731298,302,24866463
